"Nomor,""Bab"",""Matan.""";;;;;;;;;;;;;
"2,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam apabila hendak melaksanakan shalat lail beliau menggosok mulutnya dengan siwak""";;;;;;;;;;;;;
"3,""Thoharoh"",""Saya menemui Rasulullah Shallallahu'alaihi wasallam,  sedang beliau sedang bersiwak, dan ujung siwak berada di ujung lidahnya beliau mengucapkan ";" Aa', Aa'.""";;;;;;;;;;;;
"4,""Thoharoh"",""kami tidak -atau tidak akan - meminta pertolongan orang yang menginginkan jabatan kepegawaian, maka pergilah kamu'""";;;;;;;;;;;;;
"5,""Thoharoh"",""Bersiwak mendatangkan kewangian mulut, dan mendapat ridha Allah""";;;;;;;;;;;;;
"6,""Thoharoh"",""Aku sering menganjurkan kalian banyak bersiwak""";;;;;;;;;;;;;
"7,""Thoharoh"",""Seandainya aku tidak khawatir memberatkan umatku, aku pasti memerintahkan mereka untuk bersiwak setiap kali shalat""";;;;;;;;;;;;;
"8,""Thoharoh"",""Apa yang pertama kali Rasulullah Shallallahu'alaihi wasallam kerjakan ketika masuk ke dalam rumahnya? """;;;;;;;;;;;;;
"9,""Thoharoh"",""Lima perkara yang termasuk fitrah, berkhitan, mencukur bulu kemaluan, memotong kumis, memotong kuku, dan mencabut bulu ketiak""";;;;;;;;;;;;;
"10,""Thoharoh"",""Lima perkara yang termasuk fitrah, memotong kumis, mencabut bulu ketiak, memotong kuku, mencukur bulu kemaluan, dan berkhitan""";;;;;;;;;;;;;
"11,""Thoharoh"",""Ada lima perkara yang termasuk fitrah yaitu : berkhitan, mencukur bulu kemaluan, mencabut bulu ketiak, memotong kuku, dan memotong kumis""";;;;;;;;;;;;;
"12,""Thoharoh"",""Termasuk fitrah adalah memotong kuku, memotong kumis, dan mencukur bulu kemaluan""";;;;;;;;;;;;;
"13,""Thoharoh"",""Barang siapa tidak memotong kumisnya, dia tidak termasuk golongan kami""";;;;;;;;;;;;;
"14,""Thoharoh"",""Rasulullah Shallallahu'alaihi wasallam menentukan waktu bagi kita dalam masalah memotong kumis, memotong kuku, mencukur bulu kemaluan, dan mencabut bulu ketiak""";;;;;;;;;;;;;
"15,""Thoharoh"",""Pendekkan kumis dan biarkan (panjangkan) jenggot""";;;;;;;;;;;;;
"16,""Thoharoh"",""Aku pernah keluar bersama Rasulullah Shallallahu'alaihi wasallam ke tempat yang sepi, apabila beliau ingin buang hajat, beliau menjauh""";;;;;;;;;;;;;
"17,""Thoharoh"",""apabila Rasulullah Shallallahu'alaihi wasallam pergi ke tempat (WC), beliau menjauh""";;;;;;;;;;;;;
"18,""Thoharoh"",""Aku pernah berjalan bersama Rasulullah Shallallahu'alaihi wasallam. Ketika sampai di tempat pembuangan sampah suatu kaum, beliau kencing sambil berdiri""";;;;;;;;;;;;;
"19,""Thoharoh"",""Ya Allah, aku berlindung kepada-Mu dari kejahatan setan laki-laki dan setan perempuan""";;;;;;;;;;;;;
"20,""Thoharoh"",""Apabila salah seorang dari kalian ingin buang air besar atau buang air kecil, jangan menghadap kiblat atau membelakanginya""";;;;;;;;;;;;;
"21,""Thoharoh"",""Jangan kalian menghadap kiblat dan jangan membelakanginya ketika buang air besar atau buang air kecil, tetapi menghadaplah ke timur atau barat""";;;;;;;;;;;;;
"22,""Thoharoh"",""Bila salah seorang dari kalian ingin buang air besar, jangan menghadap kiblat, tetapi menghadaplah ke timur atau barat""";;;;;;;;;;;;;
